# Constructed from biom file
#OTU ID	ERR1662646	ERR1662647	ERR1662648	ERR1662649	ERR1662651	ERR1662655	ERR1662656	ERR1662657	ERR1662659	ERR1662661	ERR1662663	ERR1662664	ERR1662665	ERR1662669	ERR1662672	ERR1662673	ERR1662675	ERR1662678	ERR1662679	ERR1662682	ERR1662683	ERR1662684	ERR1662685	ERR1662689	ERR1662690	ERR1662732	ERR1662735	ERR1662741
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;__	182.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__	0.0	0.0	0.0	0.0	0.0	179.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Cyanobacteria;c__Vampirivibrionia;o__Obscuribacterales;f__Obscuribacteraceae;g__Candidatus_Obscuribacter	0.0	244.0	0.0	0.0	7.0	0.0	19.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	8.0	0.0	0.0	8.0	19.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Weeksellaceae;g__Chryseobacterium	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Dolosigranulum	1138.0	0.0	0.0	0.0	87.0	0.0	0.0	0.0	0.0	85.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Solobacterium	0.0	0.0	0.0	1538.0	666.0	1885.0	1496.0	972.0	760.0	2513.0	3413.0	485.0	883.0	569.0	430.0	444.0	1805.0	79.0	189.0	2141.0	317.0	391.0	7.0	1051.0	100.0	173.0	123.0	1497.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium	211.0	0.0	0.0	5557.0	1847.0	3673.0	477.0	1584.0	2508.0	3885.0	299.0	1840.0	7250.0	2226.0	1208.0	169.0	2660.0	328.0	313.0	3978.0	214.0	430.0	8543.0	3351.0	585.0	1149.0	5142.0	1719.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Rothia	1845.0	0.0	2353.0	967.0	3790.0	1447.0	114.0	2722.0	1052.0	324.0	184.0	582.0	146.0	643.0	855.0	742.0	1617.0	3747.0	833.0	2117.0	1275.0	289.0	0.0	2633.0	5981.0	0.0	1072.0	323.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	189.0	0.0	4.0	0.0	0.0	0.0	5.0	0.0	44.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Abiotrophia	0.0	0.0	0.0	11.0	41.0	0.0	0.0	0.0	0.0	27.0	0.0	58.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	114.0	0.0	0.0	82.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Gemellaceae;g__Gemella	4400.0	1122.0	1662.0	12409.0	14507.0	10616.0	5889.0	7137.0	6670.0	2946.0	2497.0	1770.0	3230.0	1109.0	1375.0	3473.0	2533.0	214.0	3809.0	5175.0	2141.0	3256.0	3837.0	3830.0	8961.0	7131.0	5389.0	14631.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus	0.0	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.0	0.0	0.0	7.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;g__Leptotrichia	0.0	1019.0	1265.0	745.0	1903.0	3941.0	2570.0	7982.0	9958.0	5075.0	3581.0	2133.0	40378.0	1107.0	125.0	411.0	9477.0	9672.0	1866.0	652.0	2042.0	2564.0	0.0	12205.0	289.0	9391.0	14238.0	8431.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Anaeroglobus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter	186.0	1834.0	1117.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotellaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Parvimonas	6104.0	0.0	0.0	1421.0	50.0	240.0	115.0	453.0	1511.0	946.0	1825.0	649.0	388.0	154.0	8892.0	1663.0	387.0	0.0	10767.0	542.0	80.0	702.0	697.0	20.0	61.0	1025.0	1804.0	2306.0
d__Bacteria;p__Acidobacteriota;c__Subgroup_5;o__Subgroup_5;f__Subgroup_5;g__Subgroup_5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Caldibacillus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Johnsonella	149.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	6.0	5.0	18.0	2.0	19.0	0.0	0.0	142.0	33.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	32.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus	0.0	131.0	569.0	3471.0	0.0	0.0	0.0	611.0	95.0	32.0	0.0	55.0	5454.0	0.0	10555.0	581.0	0.0	0.0	507.0	0.0	285.0	91.0	115.0	207.0	0.0	1427.0	2431.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__	484.0	91.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-002	0.0	181.0	380.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	2201.0	341.0	1115.0	685.0	1737.0	7560.0	3847.0	2795.0	12663.0	583.0	482.0	1141.0	6012.0	1439.0	2634.0	2410.0	3319.0	2049.0	8912.0	288.0	579.0	999.0	10014.0	4248.0	1827.0	6045.0	1887.0	7959.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium	776.0	630.0	700.0	273.0	437.0	0.0	69.0	608.0	306.0	188.0	39.0	60.0	43.0	217.0	100.0	79.0	17.0	0.0	25.0	51.0	83.0	72.0	247.0	55.0	132.0	400.0	0.0	170.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium-Methylorubrum	0.0	321.0	110.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__uncultured	654.0	0.0	0.0	195.0	250.0	5287.0	89.0	2185.0	365.0	232.0	101.0	706.0	922.0	0.0	444.0	197.0	2368.0	191.0	47.0	0.0	579.0	0.0	1873.0	215.0	0.0	2501.0	0.0	219.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__F0058	0.0	0.0	0.0	11.0	0.0	911.0	0.0	0.0	10.0	0.0	8.0	4.0	4.0	17.0	14.0	45.0	13.0	0.0	5.0	42.0	0.0	0.0	118.0	42.0	0.0	69.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.0	0.0	0.0	0.0	285.0	327.0	0.0	1471.0	0.0	0.0	0.0	34.0	38.0	7023.0	60.0	158.0	0.0	48.0	0.0	1638.0	0.0	53.0	0.0	1679.0	8.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Bogoriellaceae;g__Georgenia	0.0	0.0	0.0	0.0	0.0	30.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae;__	0.0	0.0	0.0	107.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	270.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoanaerobaculum	204.0	0.0	41.0	970.0	1234.0	2373.0	2259.0	5582.0	1464.0	215.0	741.0	1119.0	2666.0	692.0	651.0	363.0	3305.0	528.0	184.0	451.0	212.0	147.0	6686.0	4158.0	49.0	1349.0	1606.0	1565.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
