# Constructed from biom file
#OTU ID	ERR1939177	ERR1939179	ERR1939180	ERR1939181	ERR1939182	ERR1939185	ERR1939186	ERR1939187	ERR1939188	ERR1939189	ERR1939190	ERR1939192	ERR1939199	ERR1939200	ERR1939201	ERR1939203	ERR1939205	ERR1939209	ERR1939243	ERR1939244	ERR1939245	ERR1939247	ERR1939248	ERR1939249	ERR1939250
d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter	0.0	0.0	0.0	0.0	0.0	0.0	813.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	512.0	3.0	201.0	235.0	0.0	521.0	608.0	1813.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;__	0.0	70.0	87.0	0.0	71.0	3293.0	31.0	0.0	297.0	73.0	0.0	127.0	449.0	48.0	0.0	161.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Neisseriaceae;g__uncultured	0.0	1120.0	0.0	883.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	0.0	1989.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	293.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Parvimonas	0.0	0.0	0.0	0.0	646.0	0.0	5082.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8378.0	0.0	0.0	13.0	0.0	0.0	0.0	41.0	0.0	0.0	2125.0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium	0.0	0.0	0.0	0.0	479.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	0.0	0.0	39.0	0.0	0.0	40.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Peptoniphilus	0.0	0.0	401.0	1622.0	0.0	0.0	98.0	0.0	580.0	0.0	722.0	0.0	2563.0	0.0	2578.0	0.0	0.0	1606.0	0.0	0.0	1077.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19147.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;__	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Synergistota;c__Synergistia;o__Synergistales;f__Synergistaceae;g__Fretibacterium	0.0	0.0	0.0	0.0	0.0	0.0	11577.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae;g__Mogibacterium	0.0	0.0	0.0	0.0	0.0	0.0	1386.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0
