# Constructed from biom file																																	
#OTU ID	SRR7949577	SRR7949582	SRR7949585	SRR7949590	SRR7949592	SRR7949598	SRR7949600	SRR7949604	SRR7949607	SRR7949609	SRR7949610	SRR7949612	SRR7949614	SRR7949615	SRR7949616	SRR7949617	SRR7949618	SRR7949619	SRR7949620	SRR7949621	SRR7949623	SRR7949626	SRR7949628	SRR7949629	SRR7949631	SRR7949633	SRR7949634	SRR7949635	SRR7949636	SRR7949641	SRR7949647	SRR79495901	SRR79495902
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Enhydrobacter	42	0	0	0	0	0	0	0	0	85	0	141	0	38	165	0	0	0	0	81	0	0	0	53	19	0	504	0	256	0	0	0	41
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Methylophilaceae;g__Methylotenera	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Actinobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	498	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae;g__Proteus	0	0	0	0	0	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2182	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Azospirillaceae;g__Niveispirillum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia-Shigella	0	24	318	0	0	0	0	0	0	0	0	0	0	0	24	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	64
d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6581	0	0	0	0	0	0	0	0	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Peptoniphilus	148	0	0	0	0	233	1441	0	66	353	499	0	537	723	0	48	74	1161	189	5505	322	250	99	468	0	0	2831	0	6396	0	460	24	2777
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;__;__;__	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	6	6
